英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,元盛文交所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000939368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,移斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18953127690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,文达画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0871 65160378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,滇韵流香画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13908807088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,紫云轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15096796032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,江川艺栈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14708775546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,文友斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18987153532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,风之谷画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13529975670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云南二我轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13888040777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,存在艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18675566666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蒙恩艺馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0888-5122666  18708887793 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艾维美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13619647712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,国风雅集画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15987144894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,朔源画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0871-3635987 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,苔画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(86 871)5385159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TCG诺地卡画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0871-4114691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,框余画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13669768697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TC/G诺地卡画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0871-4114692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,源生坊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
