英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,夏清鎏美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13801188455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,逸空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13810456721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,同盛轩艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13651155955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,瀚艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57626199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蛙人艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13910168362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,经典画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13581668914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,铸造美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010-64337617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,虚拟画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+00886  2 5645312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,芳草地画廊798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59789282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,无界艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010-87621212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,豪雅得艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18301486218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,妙有艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13366557799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KCCA麒麟当代艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18504417502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Link Gallery｜力画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18618133419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三木国际艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13718869193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,復言社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13910205796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NUOART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13910207070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,上能艺术当量 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 086 18673182819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,乌拉尔（北京）艺术展览馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+86 13071688888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,聚缘阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920331007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
