英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,成都瑞麒和书画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880662998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,凌文艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13281179362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,兴义美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15002892172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,岁月艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15881183411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大观艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18628088068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,像素艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880802754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,二酉山房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 86 15928470550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,纽芬艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15208251363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四海名家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18908064066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川省诗书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15928052763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E·形空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15928470550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,九方绘艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15828103394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WM Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13551865070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川尚瀚岩彩重彩画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13551029759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云天路雅画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18680981027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川长江画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18683952399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,雅斐艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18615708645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, 首尔迪文化艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18980651125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,诗婢家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18628902926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盛源艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13699492035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,千高原艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+86-028-8512 6358 / 8515 8238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,成都风雅阁画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18782116779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云之路艺苑 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13808096511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,那特画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02885246646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,新门道当代艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18683299661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,色采文化交流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13808179907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,高迪画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100831102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四面空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02888439257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宽云美术馆 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15208313352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,K空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13981984333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,良和慈航文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13438813715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,了了艺术传播机构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15884412120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,二十四城画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13730660880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,东山锦艺画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13908099456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川当代油画院 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880265664 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,英盟当代艺术馆 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-83512256；028-84759011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蓉社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18615793666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,西南艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18190774060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盛世风韵 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13980046796 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大为美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18008037010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,知秋堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15184400555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,春风艺鲤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15008430511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,浩瀚艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18011396976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,善缘地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13551868481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,雅风画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-87513375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,覌自在画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-83551522  15108458694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,相艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13488910164 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,成都好画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13699447931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,德堡艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18628181517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,青藤小筑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13890038522 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,藏龙阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13980736117 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,成都世茂嘉美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-83155835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,苏富比艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15108458694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,东方绘画艺术院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18982182251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,映月•黎日艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028---85573555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,善缘地画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13551868481 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,通元画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13541068780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A4当代艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+86 28 85761265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,廊桥re-C艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-85439033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川乐山天娇阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18781398558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,英诺威画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-61557327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,世茂嘉美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18349276977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,双齐楼画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13982087077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,巢艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-84867609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川首尔迪艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-65061958 18008037010 13808047213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺家国际画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(86 28) 61554828 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大世纪书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08182515279 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三和艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-85154095     13708083027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,真璞居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880618926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,岁月画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-61860147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,空港10号艺术机构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-85287881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,廊桥当代艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0086-28-85439033 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川西部画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-87350627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,沉香木画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-68310509　66240925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,汉默画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-85512090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,四川美术家画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-86639855、86635112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,东方书画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-867147348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺缘斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-88005900 13308026138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.O艺术空间·成都,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-86639855  86635112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,上艺行画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028-65810539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
