英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,MD Flacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044-7974323455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,东南亚论坛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010 8048 0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mark Hachem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 212 585 2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A2Z Art  Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cemeti Art House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62 274 371 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Serindia Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 2160 5977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Galerie Forsblom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358 9 680 3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aspan Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8048-0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Primo Marella Galler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 02 87384885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tomio Koyama Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-6434-7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Galerie Stephanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632 709 14 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TAKSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 6476 4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gallery HUUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 6334 2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,La Lanta Fine Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662 260 5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FOST Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 6694 3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Edwin’s Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62 21 7194721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Core Design Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+603 5612 1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,维刻艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13297944980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
