英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,清风阁画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13777706452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,思远画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13502029152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,藏品阁（天津）艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18812578922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,敬賢齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13599928839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,安逸田园画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13820908460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,杨茂民画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13652185893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺和堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15510978194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,恒美一品书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18522520484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,同道堂文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13821707177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨墅香苑真品画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18892220996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,圣馨桐画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15022247340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,星汉画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13662049920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天津艺缘斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13512025444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天津泓松阁苑画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18698176638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,普育学子画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18622386023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,知墨堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15022482337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,朗园画艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13820596276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天津雅汇文化 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18512204511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天津画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18622180256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,再生空间计划 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022-86684522、15122465887 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三家园画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27352061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天津兰畹慧业艺术馆 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13682066019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,莫高艺术空间画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13820318898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
