英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,凤翥轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18054088166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云水间艺术画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15656073028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,阜阳长和文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15105585799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,中环艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15956979210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,雅德馨香画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+86 13905517903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨池书屋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18355190720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,正艺堂 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675616865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,黄叶村(畊石斋),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13955310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,安徽千载画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13605514930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,一诺斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13966238456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,安徽泾县草檀斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13637237111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宁静斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18656205613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天宝艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18956336266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,界首市艺宝画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13205588178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨言坊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18955949688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,徽雨楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675593395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,徽德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18655753757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,硕彦画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18225899990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,藏雅阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13905606477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,淮北鉴古斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13083353980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,八斗画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15055113040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,祥瑞画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13083348999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,贺泽海艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13695519949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山月画社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0551-63812616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山水画社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13905694727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,太和王丰画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13705688551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺海画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13966787799,13966667777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宴墨堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18655898013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,丰泽权画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13505602538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,凡巢艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13956782999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,融艺书画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13613061321 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,安徽载真堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18196706773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,无尘居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13905535520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,唐画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18655178695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,至臻舍得画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0561-3863273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,安徽国艺画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13965756135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山水田园画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13855354796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三度画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0555-2374136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,古吴轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18955553600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,亳州金池画廊  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13956717319 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三和斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13805676322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
