英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,水墨丹青画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15934098406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盛世佛光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15234622342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,太谷聚贤斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13191144372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宇达青铜雕塑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13603595604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山西当代书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13903512481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,凤之媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18935286618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盛德斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18135909888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,杏坛画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15801664404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山西翰华世纪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15536914999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,瑞石艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18635197702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鸣鹤书馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18634288799 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨雅齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13152771881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山西金海棠艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0354-3268646 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,凡尘斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13935295495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,运城画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15935582505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,黄河画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15935930798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,太原菩明轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13613460302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,景峰画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0351-5285088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,晋宝斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03512021888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,半闲斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0351-4164561、13834568875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
