英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,思云阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+8657 13502954593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,意树空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15989227201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,未来的艺术品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600169211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1991艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13428811991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,华声群艺馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13827331389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,文翰艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757-26389128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,观湖楼艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18988883721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,星火艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13691603540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,红珊瑚画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13702561585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,国颋（上海）文化艺术品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13564888789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,东地仓库画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13798800048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,通翰斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13502993045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蓬莱轩艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13827062222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,水彩艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18684920170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蓝弘艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13725405039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,金果雕塑艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13602715586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,悦艺堂书画雅集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13802623616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,蒙娜丽莎画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13631488392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,中国名家画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800031254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大梵卉艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13433344512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,述古堂美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+086 13428724455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,爱特喵名家书画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15976356665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鹏宝轩艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0755 26428338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大源美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18122299653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
