英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,锦绣堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18603177088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,逸鹤斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230759337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,雄县张岗天来轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13933271936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,沧州名人美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13932728529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,中和轩画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0311-85909063 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,抱莲堂—范硕书画艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15931129688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,徐凯轩书画艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13333295658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,自在空间画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13623309099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,秋闲阁艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18931209867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三合画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18832560666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三顾堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13120170896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,清韵书画美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17703193936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,古韵阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18131975581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,侯平安书画艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15233198000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,翰墨丹青书画苑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18631932516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,清华堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13930986839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,星雅轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13932962211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,柳京画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13331362905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鸿麟雅玩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18132568888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,颐雯霁画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031185281081/13931897883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,骏方画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18633305966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,定武书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13833070758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,白玲画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+(0086) 13633111915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,臻工府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18603123313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三宝书屋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13623214789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,春风画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18032670203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,邯郸富春书画名廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13513203197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
