英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,玩美艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18625522855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,风雅宣和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18339936312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云昇山房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 86 13683719538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,翰墨堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13838332282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,笑言艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13323966128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大河画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13903865919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,郑州市郑东新区清熙书画商行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18637165043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,商都水墨会馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18638756088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,翰缘艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15225758899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,郸城中州古床博物馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13838669389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,弘雅堂 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15346088889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,建成画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15037182555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鸿远艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15038371599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,贤悦堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13607661551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,锦泓艺苑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13526432651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,百川画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13939215325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,存真斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13839359928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,逸轩美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13803716856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,丰宝斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18637918336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,一滴水画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15837157503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,耕读斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18539915977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,松嵒堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15837157503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,禾空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13523046121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,松竹斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13137818820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,今风艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15937333999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,张希硕书法艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15238600160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,种子艺术画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13523000735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,静怡画坊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13526726000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鼎丰艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0371 63336000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,集贤斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18537118860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,苏豫斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15225758899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,德雅贤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15736936579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,海鑫艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15936265585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,古豫斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15138346666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
