英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,信雅达•三清上艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13588029625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,山朗艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13867117668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宁波中嘉文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13858362249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,世界艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+（86） 13567292834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大卫画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15869400192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,神畅画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13905813509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,积翠堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13906736066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大图画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13805882185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,越晋轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18868797898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,金韵斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13017757958  18657391955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,真精新画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13567588060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,五洲文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 86 18505816633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,杭州大善艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13750815718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺休阁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13357191123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,瀚阳艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13758125644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,上虞大观文化艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13588528919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,秀空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13968013889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,白头山文化艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15057933633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,青峰画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13695791964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,名 家 画 廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13606732510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,春及草庐美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13957901938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,林泉山房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18268865444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,臻藝文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13625815377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,伯爵夫人油画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18868822727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,仁文美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13968963678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,江南艺术创意油画中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13660602810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三莲艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0571-87352335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,西泠艺廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0571—89979770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,甲午画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18758139681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,杭州卓越画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13777827046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,卢浮文化艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18367805361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,七墨堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15605899039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,兴让堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13586387727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,西湖画会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13616546964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,捷创艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15355961717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
