英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,艺高画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18175600885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,湖南馨屿名家字画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18773231773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,子闻榭艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17773139957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DNA艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13873158427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,润物楼美术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18175836828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,黑匣子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18608491568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,有源堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13907480406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,芙蓉国里艺术交流中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15898529191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,湖南澄怀轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13308403223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,典缀画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18684932288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,道同文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13755163666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,游于艺艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15675064997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,娄底书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15387388888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,后浪艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13786224084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,梅仑美画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13087386363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,逸画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0731 88716706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,汉元国瓷书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18229981888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,前行美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13875964713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,湖南盛唐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13974930738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,湖南湘宝斋美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18807471358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,阅宝斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18627596678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
