英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,闽派画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13314953086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宜水居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18650075666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,瀚画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 86 15259202525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,清风画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13950929733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,索亚画业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13328798127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,桑莲居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15980409098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,传世艺宫美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05925339168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宏宝斋&宏艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13906019433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盈止斋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13159175551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,宜當代藝術中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18960926666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨海行金舟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18965807581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,不願去藝文空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18754869799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,半线工艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13959246226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,兆锦画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18159074288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,雪椰艺术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13625004885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,龙亭书画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15859323338 15859323338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门太为艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13375928687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,福美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18906910822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺昕Art画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13860172742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,无声斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18033920608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门谷云轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18030126269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门由自艺术国画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15859267202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,灵通画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13691466089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,铸山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15805929536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三明市韵笔轩画院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13605968053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,鸿风堂艺术设计有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18770010561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺星油画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18206026959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,韵致画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13950159965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,腾龙画轩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959537884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,海艺堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0591-87385860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,樂道艺术生活馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15960727123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,芥子园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18606016055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门鼎涵艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13063040026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,福建省状元府艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13696887646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,无墨轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13950797922 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天戊艺术画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15377905696 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,华翰堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13115922726 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门远东美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15280268319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,喂空间｜WE space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0086 0592 2526777 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,云谷斋国画苑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13799673118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,三青艺术画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0591-87811418 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,尚得堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0594-3566011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,张雄画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-5933209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺术中心画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592--8813489 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1989时代画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15160089940  0592-8665205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,厦门张雄书画院美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-5933209　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,纯粹艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-5512060 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺鼎画廊 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15880057393 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,同创画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0594-2521686 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,艺鼎画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15880057393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,烟霞山馆画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13859672755 05932817819 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,盛世亨通美术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-3328166 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,怡轩艺苑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0596-2295777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,行云居画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13860105678       0592-2233605 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,大堂艺术空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-5059779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,抱朴斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-2287182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,丽生堂画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-13805958006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,旧雨今来轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0592-2023279　13806036669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,圣东方艺术机构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0591-87358979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
