英文称谓,名,中间名,姓,中文称谓,单位,部门,职务,商务地址 街道,商务地址 街道 2,商务地址 街道 3,商务地址 市/县,商务地址 省/市/自治区,商务地址 邮政编码,商务地址 国家/地区,住宅地址 街道,住宅地址 街道 2,住宅地址 街道 3,住宅地址 市/县,住宅地址 省/市/自治区,住宅地址 邮政编码,住宅地址 国家/地区,其他地址 街道,其他地址 街道 2,其他地址 街道 3,其他地址 市/县,其他地址 省/市/自治区,其他地址 邮政编码,其他地址 国家/地区,助理的电话,商务传真,商务电话,商务电话 2,回电话,车载电话,单位主要电话,住宅传真,住宅电话,住宅电话 2,ISDN,移动电话,其他传真,其他电话,寻呼机,主要电话,无绳电话,TTY/TDD 电话,电报,Internet 忙闲,办公地点,地点,电子邮件地址,电子邮件类型,电子邮件显示名称,电子邮件 2 地址,电子邮件 2 类型,电子邮件 2 显示名,电子邮件 3 地址,电子邮件 3 类型,电子邮件 3 显示名,附注,工作证号码,关键词,记帐信息,纪念日,经理姓名,类别,里程,敏感度,目录服务器,配偶,其他地址 - 邮箱,商务地址 - 邮箱,身份证编号,生日,私有,缩写,网页,性别,业余爱好,引用者,用户 1,用户 2,用户 3,用户 4,优先级,语言,帐户,职业,助理的姓名,住宅地址 - 邮箱,子女
,,,,怡静斋画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13904619560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,嘉兰德俄罗斯艺术画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18704621319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,观艺堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15304514642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,龙美艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18714505019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,基辅名嘉油画馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13059025916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,新左岸艺术中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15545126809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,哈尔滨西岸当代艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18603651522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,龙江漆画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13030001236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,溢广轩画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15546659898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,博古斋画廊（哈尔滨）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18910555588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,春风名家画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0451-87622722 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,天马艺苑画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13504535459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,佳启俄罗斯艺术馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18603642005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,坳上艺术空间 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18608491568 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,墨宝堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13936252341 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,俄罗斯油画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18204566020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,国艺堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18745012022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,哈尔滨咖啡画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045187680110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,古今画廊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0453-6335137 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
